value,optlen,family,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,syscall_exit_close,,,,,0,,7026832583,,,lttng-sessiond,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,,,323,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,92230444586173,,,0,,,,,,,,
,,,,,,,,,,syscall_exit_restart_syscall,,,,,0,,7026832583,,,lttngracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,,,318,,,,,,,,,2,,,2,,,,,,,,20,,,,,,,,,,,92230480108874,,,0,,,,,,,,
,,,,,,,,,,syscall_shutdown,,,,,0,,14053665166,,,lttngracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,3,,242,,,,,,,,,2,2,,2,,,,,,,,0,,,,,,,,,,,92230480153718,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14053665166,,,lttngracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,3,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,84017916,,,0,,,,,,,,
,,,,,,,,42,,syscall_write,,,,,0,,14053665166,,,lttngracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,1,,18,,,,,,,,,2,,,2,,,,,,33100336,,42,,,,,,,,,,,84498747,,,0,,,,,,,,
,,,,,,,,,,syscall_exit_restart_syscall,,,,,0,,7027412581,,,sshd)0,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,318,,,,,,,,,3,,,3,,,,,,,,1,,,,,,,,,,,92230480693351,,,0,,,,,,,,
,,,,,,,,16384,,syscall_read,,,,,0,,14054825162,,,sshd)0,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,11,,17,,,,,,,,,3,,,3,,,,,,2125292156,,42,,,,,,,,,,,84583278,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,sshd)0,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,14139,,,,,,,,,,,84628694,,,0,,,,,,,,
,,,,,,,,,1,net_dev_queue,237,,,,0,,7027412581,,4,sshd)0,,,,,346392,1,,1914125722,,162,,41104,1322077235,,16384,,,,5,,,,8,,0,0,,8,23165,17930,,,,,,,503795721,3,,,3,,,enxb827eb8ec29a,,,,,,0,,3070627384,,1322077219,,,,,64,84742184,,,0,148,,22,24,,6,,
,,,,,,,,96,,syscall_write,,,,,0,,14054825162,,,sshd)0,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,3,,18,,,,,,,,,3,,,3,,,,,,8436424,,96,,,,,,,,,,,84693173,,,0,,,,,,,,
