value,optlen,family,argv,mode,size,path,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,0,,,,,,,,syscall_access,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,0,,,0,,,,,,,,-2,,,,,,/etc/ld.so.nohwcap,,,,,92234047257101,,,12,,,,,,,,
,,,,4,,,,,,,,syscall_access,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,92234047303299,,,12,,,,,,,,
,,,,3,,,,,,,,syscall_open,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,27311497,,,12,,,,524288,,,,
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,27335560,,,12,,,,,,,,
,,,,59744,,,,,,,,syscall_open,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/usr/lib/arm-linux-gnueabihf/libarmmem.so,,,,,27393216,,,12,,,,524288,,,,
,,,,,,,,,,512,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122360848,,512,,,,,,,,,,,27424674,,,12,,,,,,,,
,,,,,,,,,,1000,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122359592,,1000,,,,,,,,,,,27442486,,,12,,,,,,,,
,,,,,,,,,,45,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122359536,,45,,,,,,,,,,,27448945,,,12,,,,,,,,
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,27576444,,,12,,,,,,,,
,,,,1,,,,,,,,syscall_open,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/ld.so.cache,,,,,27669673,,,12,,,,524288,,,,
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,27686444,,,12,,,,,,,,
,,,,0,,,,,,,,syscall_access,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,0,,,0,,,,,,,,-2,,,,,,/etc/ld.so.nohwcap,,,,,92234047762463,,,12,,,,,,,,
,,,,59744,,,,,,,,syscall_open,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/arm-linux-gnueabihf/libc.so.6,,,,,27749152,,,12,,,,524288,,,,
,,,,,,,,,,512,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122360696,,512,,,,,,,,,,,27785558,,,12,,,,,,,,
,,,,,,,,,,2880,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122357560,,2880,,,,,,,,,,,27798214,,,12,,,,,,,,
,,,,,,,,,,47,,syscall_read,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122357504,,47,,,,,,,,,,,27808058,,,12,,,,,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187189243,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15297,24454,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2609337400,,1322077219,,,,,64,27917015,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187190691,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15298,24453,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2609337784,,1322077219,,,,,64,27968526,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,,syscall_close,,,,,0,,1544784116,,,,,,,,1640856,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,28012119,,,12,,,,,,,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187193587,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15300,24451,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2609338552,,1322077219,,,,,64,28210347,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187196483,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15302,24449,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2609339320,,1322077219,,,,,64,28455190,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187199379,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15304,24447,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2609340088,,1322077219,,,,,64,28677376,,,12,1500,,40460,16,,6,,
,,,,,,,,,,,1,net_dev_queue,229,,,,0,,772392058,,4,,,,,,1640856,,1,,3187200827,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,15305,24446,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2638274744,,1322077219,,,,,64,28816282,,,12,1500,,40460,16,,6,,
