value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,envp,tos,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_close,,,,,0,,384249578,,,lttng-sessiond,,,,,168704,,,,,,,,,,,,,,,,,,,,,,0,165,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,66137416,,,19,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,384249578,,,lttng-sessiond,,,,,168704,,,,,,,,,,,,,,,,,,,,,,0,164,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,66156426,,,19,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,384249578,,,lttng-sessiond,,,,,168704,,,,,,,,,,,,,,,,,,,,,,0,44,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,66262780,,,19,,,,,,,,
,,,,,,,,,,,syscall_shutdown,,,,,0,,424528246,,,lttngracing.sh,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,3,,,242,,,,,,,,,1,2,,1,,,,,,,,0,,,,,,,,,,,92235965430273,,,19,,,,,,,,
,4,,,,,,,,,,syscall_setsockopt,,,,,0,,384249578,,,lttng-sessiond,,,,,168704,,,,,,,,,,,,,,,,,,,,1,,0,44,,,243,,,16,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,92235965439908,,,19,,1940908716,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,424528246,,,lttngracing.sh,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,3,,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,66371165,,,19,,,,,,,,
,,,,,,,,,57,,syscall_write,,,,,0,,424528246,,,lttngracing.sh,,,,,169840,,,,,,,,,,,,,,,,,,,,,,0,1,,,18,,,,,,,,,1,,,1,,,,,,9331528,,-32,,,,,,,,,,,67214546,,,19,,,,,,,,
,,,,,,,,,,,sched_process_exit,,,,,0,,212264123,,,lttngracing.sh,,,,,169840,,,,,,,,,,,,,,,,,15457,,,,,0,,,,3,,,,,,,,,1,,,1,,lttngracing.sh,,,,,,,,,,20,,,,,,,68493447,,,19,,,,,,,,
,,,,,,,,,1,,syscall_write,,,,,0,,350811920,,,sudoTracing.sh,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,4,,,18,,,,,,,,,3,,,3,,,,,,2127504563,,1,,,,,,,,,,,68696987,,,19,,,,,,,,
,,,,,,,,,1,,syscall_read,,,,,0,,350811920,,,sudoTracing.sh,,,,,157880,,,,,,,,,,,,,,,,,,,,,,0,3,,,17,,,,,,,,,3,,,3,,,,,,2127505207,,1,,,,,,,,,,,68756779,,,19,,,,,,,,
