value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,16384,,,,,,,syscall_open,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d,,,,,70878911,,,22,,,,673792,,,,
,,,,,,,,,32768,,syscall_getdents64,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,208,,,,,,,,,,,92237312221913,,,22,,,,,,,,11592016
,,,,,,,,,32768,,syscall_getdents64,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,92237312313631,,,22,,,,,,,,11592016
,,,,,,,,,,,syscall_close,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,71065264,,,22,,,,,,,,
,,,,16384,,,,,,,syscall_open,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d,,,,,71130316,,,22,,,,673792,,,,
,,,,,,,,,32768,,syscall_getdents64,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,120,,,,,,,,,,,92237312420037,,,22,,,,,,,,11624960
,,,,,,,,,32768,,syscall_getdents64,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,92237312447485,,,22,,,,,,,,11624960
,,,,,,,,,,,syscall_close,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,71220732,,,22,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d/aliases.conf,,,,,71238284,,,22,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,477499666,,,,,,,,672528,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,11592848,,655,,,,,,,,,,,71324013,,,22,,,,,,,,
