value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,uid,saddr,ruid,frag_off,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,envp,tos,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_close,,,,,0,,1075745324,,,lttng-sessiond,,,,,18888,,,,,,,,,,,,,,,,,,,,,,0,165,,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,96700051,,,45,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1075745324,,,lttng-sessiond,,,,,18888,,,,,,,,,,,,,,,,,,,,,,0,164,,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,96712811,,,45,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1075745324,,,lttng-sessiond,,,,,18888,,,,,,,,,,,,,,,,,,,,,,0,44,,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,96786561,,,45,,,,,,,,
,,,,,,,,,,,syscall_shutdown,,,,,0,,1086563400,,,lttngracing.sh,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,3,,,242,,,,,,,,,2,2,,2,,,,,,,,0,,,,,,,,,,,92245122730600,,,45,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1086563400,,,lttngracing.sh,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,3,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,96862029,,,45,,,,,,,,
,4,,,,,,,,,,syscall_setsockopt,,,,,0,,1075745324,,,lttng-sessiond,,,,,18888,,,,,,,,,,,,,,,,,,,,1,,0,44,,,243,,,16,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,92245122743516,,,45,,1940908716,,,,,,
,,,,,,,,,57,,syscall_write,,,,,0,,1086563400,,,lttngracing.sh,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,1,,,18,,,,,,,,,2,,,2,,,,,,1885000,,-32,,,,,,,,,,,97369683,,,45,,,,,,,,
,,,,,,,,,,,sched_process_exit,,,,,0,,543281700,,,lttngracing.sh,,,,,456648,,,,,,,,,,,,,,,,,15905,,,,,0,,,,3,,,,,,,,,2,,,2,,lttngracing.sh,,,,,,,,,,20,,,,,,,98193586,,,45,,,,,,,,
,,,,,,,,,1,,syscall_write,,,,,0,,1094420552,,,sudoTracing.sh,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,4,,,18,,,,,,,,,3,,,3,,,,,,2125284531,,1,,,,,,,,,,,98352960,,,45,,,,,,,,
,,,,,,,,,1,,syscall_read,,,,,0,,1094420552,,,sudoTracing.sh,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,3,,,17,,,,,,,,,3,,,3,,,,,,2125285175,,1,,,,,,,,,,,98398897,,,45,,,,,,,,
,,,,,,,,,,,syscall_getuid,,,,,0,,1094420552,,,sudoTracing.sh,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,,,,160,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,92245124451321,,,45,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,1094420552,,,sudoTracing.sh,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,3,,,3,,,,,,,,6,,,,,,/etc/login.defs,,,,,98590876,,,45,,,,131072,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,1094420552,,,sudoTracing.sh,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,6,,,17,,,,,,,,,3,,,3,,,,,,21788032,,4096,,,,,,,,,,,98659990,,,45,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,1094420552,,,sudoTracing.sh,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,6,,,17,,,,,,,,,3,,,3,,,,,,21788032,,4096,,,,,,,,,,,98737073,,,45,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,1094420552,,,sudoTracing.sh,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,6,,,17,,,,,,,,,3,,,3,,,,,,21788032,,2324,,,,,,,,,,,98807906,,,45,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1094420552,,,sudoTracing.sh,,,,,638912,,,,,,,,,,,,,,,,,,,,,,0,6,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,98830770,,,45,,,,,,,,
,,,,,,,,,,,syscall_getpid,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,30,,,,,,,,,2,,,2,,,,,,,,121,,,,,,,,,,,99035926,,,45,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,2,,,2,,,,,,,,15,,,,,,/proc/sudoTracing.sh/cgroup,,,,,99204206,,,45,,,,655360,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,2,,,2,,,,,,6359640,,143,,,,,,,,,,,99268581,,,45,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,99343007,,,45,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,2,,,2,,,,,,,,15,,,,,,/proc/sudoTracing.sh/comm,,,,,99387382,,,45,,,,655360,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,2,,,2,,,,,,6359640,,5,,,,,,,,,,,99407747,,,45,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,99416497,,,45,,,,,,,,
,,,,,,,,,,,syscall_readlinkat,,,,,0,-100,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,276,,,,,,,,,2,,,2,/proc/sudoTracing.sh/exe,,,,,6301200,,13,,,,,,,,,,,92245125314390,99,,45,,,,,,,,
,,,,438,,,,,,,syscall_open,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,2,,,2,,,,,,,,15,,,,,,/proc/sudoTracing.sh/cmdline,,,,,99487434,,,45,,,,655360,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,2,,,2,,,,,,6359640,,27,,,,,,,,,,,99506548,,,45,,,,,,,,
,,,,,,,,,1024,,syscall_read,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,17,,,,,,,,,2,,,2,,,,,,6359640,,0,,,,,,,,,,,99529673,,,45,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,1086563400,,,systemd-journal,,,,,456648,,,,,,,,,,,,,,,,,,,,,,0,15,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,99537746,,,45,,,,,,,,
,,,,,,,,,,,sched_process_exec,,,,15958,0,,547210276,,,kworker/u8:9,,,,,638912,,,,,,,,,,,,,,,,,15958,,,,,0,,,,8,,,,,,,,,3,,,3,,,,,,,,,,,,,,/sbin/modprobe,,,,,99553736,,,45,,,,,,,,
