value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,uid,saddr,ruid,nodep,frag_off,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,envp,tos,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_close,,,,,0,,2116281840,,,lttng-sessiond,,,,,176616,,,,,,,,,,,,,,,,,,,,,,0,165,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,116178502,,,62,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,2116281840,,,lttng-sessiond,,,,,176616,,,,,,,,,,,,,,,,,,,,,,0,164,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,116190898,,,62,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,2116281840,,,lttng-sessiond,,,,,176616,,,,,,,,,,,,,,,,,,,,,,0,44,,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,116264595,,,62,,,,,,,,
,,,,,,,,,,,syscall_shutdown,,,,,0,,2154821660,,,lttngracing.sh,,,,,904944,,,,,,,,,,,,,,,,,,,,,,0,3,,,242,,,,,,,,,3,2,,3,,,,,,,,0,,,,,,,,,,,92249571388398,,,62,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,2154821660,,,lttngracing.sh,,,,,904944,,,,,,,,,,,,,,,,,,,,,,0,3,,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,116332824,,,62,,,,,,,,
,,,,,,,,,57,,syscall_write,,,,,0,,2154821660,,,lttngracing.sh,,,,,904944,,,,,,,,,,,,,,,,,,,,,,0,1,,,18,,,,,,,,,3,,,3,,,,,,27915080,,-32,,,,,,,,,,,116797093,,,62,,,,,,,,
,,,,,,,,,,,sched_process_exit,,,,,0,,1077410830,,,lttngracing.sh,,,,,904944,,,,,,,,,,,,,,,,,16184,,,,,0,,,,3,,,,,,,,,3,,,3,,lttngracing.sh,,,,,,,,,,20,,,,,,,117519433,,,62,,,,,,,,
,,,,,,,,,1,,syscall_write,,,,,0,,2047145284,,,sudoTracing.sh,,,,,596024,,,,,,,,,,,,,,,,,,,,,,0,4,,,18,,,,,,,,,1,,,1,,,,,,2125628611,,1,,,,,,,,,,,117641256,,,62,,,,,,,,
,,,,,,,,,1,,syscall_read,,,,,0,,2047145284,,,sudoTracing.sh,,,,,596024,,,,,,,,,,,,,,,,,,,,,,0,3,,,17,,,,,,,,,1,,,1,,,,,,2125629255,,1,,,,,,,,,,,117682349,,,62,,,,,,,,
,,,,,,,,,,,syscall_getuid,,,,,0,,2047145284,,,sudoTracing.sh,,,,,596024,,,,,,,,,,,,,,,,,,,,,,0,,,,160,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,92249572886412,,,62,,,,,,,,
