value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_exit_socket,,,,,0,,504201042,,,sudoTracing.sh,,,,,713104,,,,,,,,,,,,,,,,,,,,,0,,,,534,,,,,,,,,0,,,0,,,,,,,,-93,,,,,,,,,,,92251912778928,,,67,,,,,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227528743,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43490,61796,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501609528,,1322077219,,,,,64,42866538,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227538879,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43497,61789,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501625912,,1322077219,,,,,64,43734971,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227540327,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43498,61788,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501626296,,1322077219,,,,,64,43872522,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227541775,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43499,61787,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501626680,,1322077219,,,,,64,43994657,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227543223,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43500,61786,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501627064,,1322077219,,,,,64,44121115,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227544671,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43501,61785,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501627448,,1322077219,,,,,64,44242521,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227546119,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43502,61784,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501627832,,1322077219,,,,,64,44363145,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227547567,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43503,61783,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501628216,,1322077219,,,,,64,44493561,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227549015,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43504,61782,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501628600,,1322077219,,,,,64,44608873,,,67,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,504201042,,4,swapper/0,,,,,713104,1,,3227550463,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,43505,61781,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2501628984,,1322077219,,,,,64,44734237,,,67,1500,,40460,16,,6,,
