value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,info,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,,,,,,644160,,1,,3232444805,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46921,58365,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2565443128,,1322077219,,,,,64,16433715,,,73,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,,,,,,644160,,1,,3232446253,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46922,58364,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2565443512,,1322077219,,,,,64,16483819,,,73,1500,,40460,16,,6,,
,,,,16384,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d,,,,,17142045,,,73,,,,673792,,,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232456389,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46929,58357,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2565446200,,1322077219,,,,,64,17221524,,,73,1500,,40460,16,,6,,
,,,,,,,,,,32768,syscall_getdents64,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,208,,,,,,,,,,,92253230397596,,,73,,,,,,,,9257296
,,,,,,,,,,32768,syscall_getdents64,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,92253230467491,,,73,,,,,,,,9257296
,,,,,,,,,1,,net_dev_queue,229,,,,0,,458380316,,,4,modprobe8:0,,,,,644160,,1,,3232457837,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,46930,58356,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2565446584,,1322077219,,,,,64,17338919,,,73,1500,,40460,16,,6,,
,,,,,,,,,,,syscall_close,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,17309700,,,73,,,,,,,,
,,,,16384,,,,,,,syscall_open,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d,,,,,17384075,,,73,,,,673792,,,,
,,,,,,,,,,32768,syscall_getdents64,,,,,0,,916760632,,,,modprobe8:0,,,,,644160,,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,120,,,,,,,,,,,92253230562126,,,73,,,,,,,,9290240
