value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,transport_header_type,count,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,info,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233340864,,98,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47551,59151,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073877304,,1322077219,,,,,64,16606016,,,75,84,,40460,24,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233340896,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47552,57734,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073876920,,1322077219,,,,,64,16670703,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233342344,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47553,57733,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073876536,,1322077219,,,,,64,16695235,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233343792,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47554,57732,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073876152,,1322077219,,,,,64,16711380,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233345240,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47555,57731,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073877688,,1322077219,,,,,64,16726328,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233346688,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47556,57730,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073878072,,1322077219,,,,,64,16765286,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233348136,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47557,57729,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073878456,,1322077219,,,,,64,16782370,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233349584,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47558,57728,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073878840,,1322077219,,,,,64,16830078,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233351032,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47559,57727,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073879224,,1322077219,,,,,64,16851067,,,75,1500,,40460,16,,6,,
,,,,,,,,,1,,net_dev_queue,229,,,,0,,95032163,,,4,,,,,,306952,1,,3233352480,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,47560,57726,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,3073879608,,1322077219,,,,,64,16885807,,,75,1500,,40460,16,,6,,
