flag,value,a_nomEvent,gidsetsize,fildes,parent_ns_inum,prio,tidptr,newsp,daddr,content_size,stream_instance_id,parent_tid,clone_flags,old_tid,type,addrlen,grouplist,network_header_type,protocol,buf,pid,dest_port,tot_len,tid,size,_vtids_length,urg_ptr,sgid,flags,source_port,reserved,timestamp,family,cpu_id,mode,pathname,egid,euid,comm,frag_off,ttl,head,saddr,optval,gid,sig,tos,bufsiz,rgid,vtids,count,optlen,stream_id,id,suid,skbaddr,events_discarded,dirent,parent_pid,ret,data_offset,filename,child_tid,ovalue,fd,packet_seq_num,len,uid,tcache,how,child_ns_inum,optname,nodep,name,transport_header_type,state,d_timestamp,window_size,dfd,envp,version,info,cpup,level,argv,which,ruid,seq,ack_seq,checksum,uservaddr,child_pid,parent_comm,child_comm,ihl,p_name
,,power_cpu_frequency,,,,,,,,401584,2,,,,,,,,,,,,,,,,,,,,,58734498,,0,,,,,,,,,,,,,,,,,,,0,4,,,0,,,,,,,,,0,,,,,,,,,,600000,8517860706,,,,,,,,,,,,,,,,,,,
,,power_cpu_frequency,,,,,,,,401584,2,,,,,,,,,,,,,,,,,,,,,58741061,,1,,,,,,,,,,,,,,,,,,,0,4,,,0,,,,,,,,,0,,,,,,,,,,600000,8517860706,,,,,,,,,,,,,,,,,,,
,,power_cpu_frequency,,,,,,,,401584,2,,,,,,,,,,,,,,,,,,,,,58743665,,2,,,,,,,,,,,,,,,,,,,0,4,,,0,,,,,,,,,0,,,,,,,,,,600000,8517860706,,,,,,,,,,,,,,,,,,,kworker/2:2
,,power_cpu_frequency,,,,,,,,401584,2,,,,,,,,,,,,,,,,,,,,,58746009,,3,,,,,,,,,,,,,,,,,,,0,4,,,0,,,,,,,,,0,,,,,,,,,,600000,8517860706,,,,,,,,,,,,,,,,,,,
,,syscall_read,,,,,,,,94432,3,,,,,,,,,2130630032,,,,,,,,,,,,64922659,,3,,,,,,,,,,,,,,,,,8,,0,17,,,0,,,8,,,,,14,0,,,,,,,,,,,17044867434,,,,,,,,,,,,,,,,,,,systemd-journal
,,syscall_getpid,,,,,,,,94432,3,,,,,,,,,,,,,,,,,,,,,64961201,,3,,,,,,,,,,,,,,,,,,,0,30,,,0,,,141,,,,,,0,,,,,,,,,,,17044867434,,,,,,,,,,,,,,,,,,,systemd-journal
,,syscall_getpid,,,,,,,,94432,3,,,,,,,,,,,,,,,,,,,,,64978701,,3,,,,,,,,,,,,,,,,,,,0,30,,,0,,,141,,,,,,0,,,,,,,,,,,17044867434,,,,,,,,,,,,,,,,,,,systemd-journal
,,syscall_getpid,,,,,,,,94432,3,,,,,,,,,,,,,,,,,,,,,65027815,,3,,,,,,,,,,,,,,,,,,,0,30,,,0,,,141,,,,,,0,,,,,,,,,,,17044867434,,,,,,,,,,,,,,,,,,,systemd-journal
,,syscall_getpid,,,,,,,,94432,3,,,,,,,,,,,,,,,,,,,,,65036773,,3,,,,,,,,,,,,,,,,,,,0,30,,,0,,,141,,,,,,0,,,,,,,,,,,17044867434,,,,,,,,,,,,,,,,,,,systemd-journal
,,syscall_getpid,,,,,,,,94432,3,,,,,,,,,,,,,,,,,,,,,65043388,,3,,,,,,,,,,,,,,,,,,,0,30,,,0,,,141,,,,,,0,,,,,,,,,,,17044867434,,,,,,,,,,,,,,,,,,,systemd-journal
,,syscall_getpid,,,,,,,,94432,3,,,,,,,,,,,,,,,,,,,,,65076200,,3,,,,,,,,,,,,,,,,,,,0,30,,,0,,,141,,,,,,0,,,,,,,,,,,17044867434,,,,,,,,,,,,,,,,,,,systemd-journal
,,power_cpu_frequency,,,,,,,,401584,2,,,,,,,,,,,,,,,,,,,,,25765202,,0,,,,,,,,,,,,,,,,,,,0,4,,,0,,,,,,,,,0,,,,,,,,,,1200000,8517860706,,,,,,,,,,,,,,,,,,,swapper/0
,,power_cpu_frequency,,,,,,,,401584,2,,,,,,,,,,,,,,,,,,,,,25769786,,1,,,,,,,,,,,,,,,,,,,0,4,,,0,,,,,,,,,0,,,,,,,,,,1200000,8517860706,,,,,,,,,,,,,,,,,,,
,,power_cpu_frequency,,,,,,,,401584,2,,,,,,,,,,,,,,,,,,,,,25770775,,2,,,,,,,,,,,,,,,,,,,0,4,,,0,,,,,,,,,0,,,,,,,,,,1200000,8517860706,,,,,,,,,,,,,,,,,,,kworker/2:2
,,power_cpu_frequency,,,,,,,,401584,2,,,,,,,,,,,,,,,,,,,,,25771817,,3,,,,,,,,,,,,,,,,,,,0,4,,,0,,,,,,,,,0,,,,,,,,,,1200000,8517860706,,,,,,,,,,,,,,,,,,,swapper/3
,,syscall_exit_close,,,,,,,,217144,1,,,,,,,,,,,,,,,,,,,,,188280808863,,1,,,,,,,,,,,,,,,,,,,0,323,,,0,,,0,,,,,,0,,,,,,,,,,,8510764055,,,,,,,,,,,,,,,,,,,lttng-sessiond
,,syscall_close,,,,,,,,217144,1,,,,,,,,,,,,,,,,,,,,,12597730,,1,,,,,,,,,,,,,,,,,,,0,20,,,0,,,0,,,,,44,0,,,,,,,,,,,17021528110,,,,,,,,,,,,,,,,,,,lttng-sessiond
,,syscall_shutdown,,,,,,,,161720,0,,,,,,,,,,,,,,,,,,,,,188320144593,,0,,,,,,,,,,,,,,,,,,,0,242,,,0,,,0,,,,,3,0,,,,2,,,,,,,17017947178,,,,,,,,,,,,,,,,,,,lttngracing.sh
,,syscall_close,,,,,,,,161720,0,,,,,,,,,,,,,,,,,,,,,12684917,,0,,,,,,,,,,,,,,,,,,,0,20,,,0,,,0,,,,,3,0,,,,,,,,,,,17017947178,,,,,,,,,,,,,,,,,,,lttngracing.sh
,,syscall_write,,,,,,,,161720,0,,,,,,,,,750128,,,,,,,,,,,,13166270,,0,,,,,,,,,,,,,,,,,42,,0,18,,,0,,,42,,,,,1,0,,,,,,,,,,,17017947178,,,,,,,,,,,,,,,,,,,lttngracing.sh
,,syscall_read,,,,,,,,161720,0,,,,,,,,,2127393404,,,,,,,,,,,,13260905,,0,,,,,,,,,,,,,,,,,16384,,0,17,,,0,,,42,,,,,11,0,,,,,,,,,,,17017947178,,,,,,,,,,,,,,,,,,,sshd)0
,,syscall_getpid,,,,,,,,161720,0,,,,,,,,,,,,,,,,,,,,,13304655,,0,,,,,,,,,,,,,,,,,,,0,30,,,0,,,1205,,,,,,0,,,,,,,,,,,17017947178,,,,,,,,,,,,,,,,,,,sshd)0
,,net_dev_queue,,,,,,,1322077219,161720,0,,,,,,,1,6,,,38474,148,,,,0,,24,22,0,13432988,,0,,,,,,16384,64,,1322077235,,,,8,,,,,,0,7860,,3060259384,0,,,,8,,,,,0,162,,,,,,,enxb827eb8ec29a,1,,8508973589,237,,,4,,,,,,,4088984360,3931544656,33235,,,,,5,sshd)0
,,syscall_write,,,,,,,,161720,0,,,,,,,,,10820296,,,,,,,,,,,,13380644,,0,,,,,,,,,,,,,,,,,96,,0,18,,,0,,,96,,,,,3,0,,,,,,,,,,,17017947178,,,,,,,,,,,,,,,,,,,sshd)0
